month,day,hour,temp,kW
10,1,10,64,105.3025
10,1,11,64.9,104.88
10,1,12,66,104.385
10,1,13,66,105.0975
10,1,14,66.45,105.8825
10,1,15,66,106.29
10,1,16,66,105.33
10,1,17,66.6,104.6075
10,1,18,66,105.02
10,1,19,66,105.1175
10,1,20,66,105.285
10,1,21,64.65,105.16
10,1,22,64.9,104.7275
10,1,23,64.9,104.7825
10,1,24,64.9,104.2425
10,2,1,64.9,105.3
10,2,2,64.9,105.5875
10,2,3,64.9,104.4525
10,2,4,64.73,104.2275
10,2,5,64.9,104.2275
10,2,6,64.9,104.4075
10,2,7,64.9,104.03
10,2,8,64.9,104.3225
10,2,9,66,104.38
10,2,10,66.9,105.235
10,2,11,68.55,104.9525
10,2,12,70,104.715
10,2,13,72,105.43
10,2,14,73,105.7275
10,2,15,75,106.2125
10,2,16,75,109.875
10,2,17,75,110.0025
10,2,18,73,109.75
10,2,19,72,109.4525
10,2,20,70,109.13
10,2,21,69.1,109.265
10,2,22,68,110.0475
10,2,23,69.1,109.4475
10,2,24,68,108.715
10,3,1,68,108.2875
10,3,2,68,107.4875
10,3,3,66.9,106.9575
10,3,4,66.9,107.2975
10,3,5,66,107.49
10,3,6,64,107.805
10,3,7,64,102.87
10,3,8,66,102.4425
10,3,9,68,107.64
10,3,10,71.1,111.8375
10,3,11,73,112.93
10,3,12,75,114.1
10,3,13,75.9,118.165
10,3,14,75.9,119.12
10,3,15,75,107.45
10,3,16,77,108.5525
10,3,17,75.9,105.6775
10,3,18,75,115.0975
10,3,19,71.1,103.165
10,3,20,70,102.695
10,3,21,68,77.725
10,3,22,66,55.165
10,3,23,66,54.97
10,3,24,64,54.4725
10,4,1,63,54.365
10,4,2,63,54.425
10,4,3,61,54.08
10,4,4,61,54.0275
10,4,5,59,52.9925
10,4,6,59,53.05
10,4,7,59,63.075
10,4,8,60.1,75.35
10,4,9,64,77.48
10,4,10,66,80.725
10,4,11,66.9,80.3725
10,4,12,69.55,112.7375
10,4,13,72,118.7225
10,4,14,73,119.2575
10,4,15,72,117.9675
10,4,16,71.1,117.6875
